sequence_name,is_uk,is_cog_uk,central_sample_id,secondary_identifier,sample_date,epi_week,country,adm1,is_surveillance,is_travel_history,travel_history,lineage,uk_lineage,del_lineage,phylotype
England/NORW-EC8B7/2020,Y,Y,NORW-EC8B7,,2020-05-17,21,UK,UK-ENG,N,,,B.1.1,UK1521,,
England/NORW-EA1AF/2020,Y,Y,NORW-EA1AF,,2020-05-09,19,UK,UK-ENG,N,,,B.1.1,UK1173,,
England/NORW-EB9D3/2020,Y,Y,NORW-EB9D3,,2020-05-06,19,UK,UK-ENG,N,,,B.1.1,UK1893,,
England/NORW-EB5DF/2020,Y,Y,NORW-EB5DF,,2020-05-01,18,UK,UK-ENG,N,,,B.1.1,UK608,,
England/NORW-EB5C0/2020,Y,Y,NORW-EB5C0,,2020-05-01,18,UK,UK-ENG,N,,,B.1.201,UK3230,,
England/NORW-EAE7B/2020,Y,Y,NORW-EAE7B,,2020-04-29,18,UK,UK-ENG,N,,,B.1.201,UK3230,,
England/NORW-EAE6C/2020,Y,Y,NORW-EAE6C,,2020-04-28,18,UK,UK-ENG,N,,,B.1.1,UK621,,
England/NORW-EBBFB/2020,Y,Y,NORW-EBBFB,,2020-05-06,19,UK,UK-ENG,N,,,B.1,UK2913,,
England/NORW-EBD5F/2020,Y,Y,NORW-EBD5F,,2020-05-06,19,UK,UK-ENG,N,,,B.1.1,UK1766,del_trans_544028,UK1766_1
England/NORW-EB2AB/2020,Y,Y,NORW-EB2AB,,2020-05-03,19,UK,UK-ENG,N,,,B.1.1,UK9565,,
England/NORW-EA136/2020,Y,Y,NORW-EA136,,2020-05-13,20,UK,UK-ENG,N,,,B.1.1,UK1427,,
England/NORW-EAF96/2020,Y,Y,NORW-EAF96,,2020-04-29,18,UK,UK-ENG,N,,,B.1.1,UK3689,,
England/NORW-EAB92/2020,Y,Y,NORW-EAB92,,2020-05-11,20,UK,UK-ENG,N,,,B.1,UK2913,del_trans_738350,UK2913_1.3
England/NORW-EB37B/2020,Y,Y,NORW-EB37B,,2020-05-01,18,UK,UK-ENG,N,,,B.1,UK2190,,
England/NORW-EC5CF/2020,Y,Y,NORW-EC5CF,,2020-05-10,20,UK,UK-ENG,N,,,B.1.1,UK1709,,
England/NORW-EACCC/2020,Y,Y,NORW-EACCC,,2020-05-11,20,UK,UK-ENG,N,,,B.1,UK2913,,
England/NORW-EC4E0/2020,Y,Y,NORW-EC4E0,,2020-05-10,20,UK,UK-ENG,N,,,B.1.1,UK621,del_trans_544396,
England/NORW-EBBCE/2020,Y,Y,NORW-EBBCE,,2020-05-06,19,UK,UK-ENG,N,,,B.1.201,UK3230,,
England/NORW-EAC26/2020,Y,Y,NORW-EAC26,,2020-05-10,20,UK,UK-ENG,N,,,B.1,UK2913,,
England/NORW-EC7AB/2020,Y,Y,NORW-EC7AB,,2020-05-12,20,UK,UK-ENG,N,,,B.1,UK2913,,
England/NORW-EBBEC/2020,Y,Y,NORW-EBBEC,,2020-05-06,19,UK,UK-ENG,N,,,B.1,UK2913,,
England/NORW-EB979/2020,Y,Y,NORW-EB979,,2020-05-06,19,UK,UK-ENG,N,,,B.1,UK2913,,
England/NORW-EB618/2020,Y,Y,NORW-EB618,,2020-05-01,18,UK,UK-ENG,N,,,B.1.1,UK608,,
England/NORW-EB539/2020,Y,Y,NORW-EB539,,2020-05-01,18,UK,UK-ENG,Y,,,B.1.1,UK1766,,
England/NORW-EB9C4/2020,Y,Y,NORW-EB9C4,,2020-05-07,19,UK,UK-ENG,N,,,B.1.225,UK4371,,
England/NORW-EAA86/2020,Y,Y,NORW-EAA86,,2020-05-10,20,UK,UK-ENG,N,,,B,UK118,del_trans_197,UK118_1.1
England/NORW-EBAC1/2020,Y,Y,NORW-EBAC1,,2020-05-08,19,UK,UK-ENG,N,,,B.1,UK199,,
England/NORW-EAEA8/2020,Y,Y,NORW-EAEA8,,2020-04-30,18,UK,UK-ENG,N,,,B.1.225,UK4371,,
