#node	date	numeric date
England_NORW-22B3E6_2021	2021-01-28	2021.075342
NODE_0000073	2020-12-14	2020.953139
England_NORW-22BE30_2021	2021-01-28	2021.075342
England_NORW-22C145_2021	2021-01-31	2021.083562
England_NORW-22B304_2021	2021-01-08	2021.020548
England_NORW-229B1D_2021	2021-01-04	2021.009589
NODE_0000079	2021-01-21	2021.056164
England_NORW-22CD7E_2021	2021-02-02	2021.089041
England_NORW-228000_2021	2021-01-21	2021.056164
NODE_0000096	2020-12-20	2020.969294
NODE_0000083	2021-01-17	2021.045781
England_NORW-22C1DC_2021	2021-01-31	2021.083562
England_NORW-22BB75_2021	2021-01-29	2021.078082
NODE_0000091	2020-12-24	2020.980292
England_NORW-229096_2021	2021-01-20	2021.053425
NODE_0000092	2021-01-01	2021.000124
England_NORW-22B261_2021	2021-01-28	2021.075342
NODE_0000095	2021-01-02	2021.004803
NODE_0000077	2021-01-28	2021.075342
England_NORW-22BFE2_2021	2021-02-04	2021.094521
England_NORW-22B9E4_2021	2021-01-28	2021.075342
NODE_0000098	2021-01-04	2021.009589
England_NORW-228F7C_2021	2021-01-12	2021.031507
England_NORW-228747_2021	2021-01-04	2021.009589
NODE_0000111	2020-09-10	2020.693261
England_NORW-22D26F_2021	2021-02-09	2021.108219
England_NORW-228FE5_2021	2021-01-05	2021.012329
NODE_0000162	2021-01-01	2021.001727
England_NORW-22BDE8_2021	2021-01-23	2021.061644
NODE_0000101	2021-01-18	2021.049224
NODE_0000102	2021-01-20	2021.053425
England_NORW-22961C_2021	2021-01-20	2021.053425
England_NORW-22899C_2021	2021-01-20	2021.053425
NODE_0000104	2021-01-22	2021.057636
England_NORW-22BE8B_2021	2021-01-23	2021.061644
NODE_0000106	2021-01-23	2021.061644
England_NORW-22C1CD_2021	2021-02-02	2021.089041
England_NORW-22B2CB_2021	2021-01-23	2021.061644
NODE_0000124	2020-10-04	2020.758427
England_NORW-22CD9C_2021	2021-02-01	2021.086301
England_NORW-22D496_2021	2021-02-20	2021.138356
England_NORW-22BBA2_2021	2021-01-16	2021.042466
NODE_0000125	2020-12-29	2020.992789
England_NORW-22C172_2021	2021-01-31	2021.083562
NODE_0000126	2021-01-18	2021.047945
England_NORW-22BDD9_2021	2021-01-23	2021.061644
England_NORW-228DDC_2021	2021-01-18	2021.047945
NODE_0000130	2021-01-21	2021.054943
England_NORW-22D1AE_2021	2021-02-12	2021.116438
England_NORW-22A96D_2021	2021-02-06	2021.100000
NODE_0000131	2021-02-13	2021.119178
England_NORW-22D1CC_2021	2021-02-13	2021.119178
England_NORW-22D3D5_2021	2021-02-14	2021.121918
NODE_0000133	2020-09-25	2020.734334
England_NORW-22464E_2021	2021-02-21	2021.141096
NODE_0000147	2021-01-22	2021.060266
England_NORW-22A772_2021	2021-02-10	2021.110959
England_NORW-22AAD3_2021	2021-02-10	2021.110959
NODE_0000132	2021-02-10	2021.110959
England_NORW-22A45D_2021	2021-02-10	2021.110959
England_NORW-229D08_2021	2021-02-10	2021.110959
NODE_0000150	2020-11-02	2020.837847
NODE_0000151	2021-02-04	2021.094030
England_NORW-22D2E7_2021	2021-02-12	2021.116438
England_NORW-22D539_2021	2021-02-21	2021.141096
NODE_0000152	2021-01-11	2021.028584
NODE_0000153	2021-01-23	2021.061644
England_NORW-22BEA9_2021	2021-01-23	2021.061644
NODE_0000138	2021-01-27	2021.072603
England_NORW-22BDBB_2021	2021-01-28	2021.075342
England_NORW-22B43E_2021	2021-01-27	2021.072603
NODE_0000139	2021-01-18	2021.047945
England_NORW-22862C_2021	2021-01-18	2021.047945
NODE_0000140	2021-01-21	2021.057443
