sequence_name,is_uk,is_cog_uk,central_sample_id,secondary_identifier,sample_date,epi_week,country,adm1,is_surveillance,is_travel_history,travel_history,lineage,uk_lineage,del_lineage,phylotype
_England_NORW-ED77D_2020_,Y,Y,NORW-ED77D,,2020-05-21,21,UK,UK-ENG,N,,,B.1,UK4371,,
_England_NORW-EB0B0_2020_,Y,Y,NORW-EB0B0,,2020-05-04,19,UK,UK-ENG,Y,,,B.1.1,UK1709,,
_England_NORW-EB1EA_2020_,Y,Y,NORW-EB1EA,,2020-05-04,19,UK,UK-ENG,Y,,,B.1.201,UK3230,,
_England_NORW-EA50D_2020_,Y,Y,NORW-EA50D,,2020-05-25,22,UK,UK-ENG,Y,,,B.1.225,UK4371,,
_England_NORW-E99D5_2020_,Y,Y,NORW-E99D5,,2020-04-29,18,UK,UK-ENG,Y,,,B.1.1,UK5356,del_trans_514115,UK5356_1.1.1
_England_NORW-EA998_2020_,Y,Y,NORW-EA998,,2020-05-18,21,UK,UK-ENG,Y,,,B.1,UK2913,,
_England_NORW-E98C9_2020_,Y,Y,NORW-E98C9,,2020-04-29,18,UK,UK-ENG,Y,,,B.1.1,UK1893,,
_England_NORW-E9182_2020_,Y,Y,NORW-E9182,,2020-04-28,18,UK,UK-ENG,N,,,B.1.201,UK3230,del_trans_707547,UK3230_1
_England_NORW-E90C1_2020_,Y,Y,NORW-E90C1,,2020-04-27,18,UK,UK-ENG,Y,,,B.1.1,UK1893,,
_England_NORW-E9708_2020_,Y,Y,NORW-E9708,,2020-04-29,18,UK,UK-ENG,Y,,,B.1.1,UK1893,,
_England_NORW-E9322_2020_,Y,Y,NORW-E9322,,2020-04-26,18,UK,UK-ENG,Y,,,B.3,UK462,,
_England_NORW-EA664_2020_,Y,Y,NORW-EA664,,2020-05-21,21,UK,UK-ENG,Y,,,B.1.1,UK621,,
_England_NORW-EA770_2020_,Y,Y,NORW-EA770,,2020-05-18,21,UK,UK-ENG,N,,,B.1.105,UK2231,,
_England_NORW-EB2E7_2020_,Y,Y,NORW-EB2E7,,2020-05-03,19,UK,UK-ENG,N,,,B.1,UK2913,,
_England_NORW-EB1F9_2020_,Y,Y,NORW-EB1F9,,2020-05-03,19,UK,UK-ENG,N,,,B.1.1,UK621,,
_England_NORW-E8DAD_2020_,Y,Y,NORW-E8DAD,,2020-04-28,18,UK,UK-ENG,Y,,,B.1,UK2913,,
_England_NORW-EA0B1_2020_,Y,Y,NORW-EA0B1,,2020-05-19,21,UK,UK-ENG,N,,,B,UK173,,
_England_NORW-E90D0_2020_,Y,Y,NORW-E90D0,,2020-04-28,18,UK,UK-ENG,Y,,,B.1.201,UK3230,,
_England_NORW-E8DBC_2020_,Y,Y,NORW-E8DBC,,2020-04-27,18,UK,UK-ENG,Y,,,B.1.1,UK1427,,
_England_NORW-E9CAF_2020_,Y,Y,NORW-E9CAF,,2020-04-29,18,UK,UK-ENG,Y,,,B,UK255,,
_England_NORW-EA804_2020_,Y,Y,NORW-EA804,,2020-05-16,20,UK,UK-ENG,Y,,,B.1.1,UK1427,,
_England_NORW-EAC44_2020_,Y,Y,NORW-EAC44,,2020-04-29,18,UK,UK-ENG,Y,,,B.1.201,UK3230,,
_England_NORW-E9D33_2020_,Y,Y,NORW-E9D33,,2020-04-30,18,UK,UK-ENG,Y,,,B.1.1,UK2330,,
_England_NORW-E9C90_2020_,Y,Y,NORW-E9C90,,2020-04-30,18,UK,UK-ENG,Y,,,B.1,UK2913,,
_England_NORW-E98AB_2020_,Y,Y,NORW-E98AB,,2020-04-29,18,UK,UK-ENG,Y,,,B.1,UK2913,,
_England_NORW-E8E7D_2020_,Y,Y,NORW-E8E7D,,2020-04-28,18,UK,UK-ENG,Y,,,B.1.1,UK2330,,
_England_NORW-EA8E6_2020_,Y,Y,NORW-EA8E6,,2020-05-17,21,UK,UK-ENG,Y,,,B.1.225,UK4371,,
_England_NORW-E986F_2020_,Y,Y,NORW-E986F,,2020-04-29,18,UK,UK-ENG,Y,,,B.1.1,UK1893,,
_England_NORW-EA7DA_2020_,Y,Y,NORW-EA7DA,,2020-05-18,21,UK,UK-ENG,Y,,,B.1,UK2913,,
_England_NORW-E9D24_2020_,Y,Y,NORW-E9D24,,2020-04-30,18,UK,UK-ENG,Y,,,B.1,UK2913,,
