#node	date	numeric date
NODE_0000030	2020-04-28	2020.325057
_England_NORW-EC76F_2020_	2020-05-11	2020.359290
NODE_0000124	2020-05-04	2020.339702
_England_NORW-EC662_2020_	2020-05-10	2020.356557
NODE_0000125	2020-05-10	2020.355919
_England_NORW-ED4D0_2020_	2020-05-11	2020.359290
_England_NORW-EA303_2020_	2020-05-12	2020.362022
NODE_0000266	2020-03-17	2020.208568
NODE_0000267	2020-04-17	2020.294333
_England_NORW-E6E33_2020_	2020-04-21	2020.304645
_England_NORW-EAE8A_2020_	2020-04-29	2020.326503
_England_NORW-E9B66_2020_	2020-04-30	2020.329235
NODE_0000035	2020-04-18	2020.297291
NODE_0000036	2020-04-19	2020.299180
_England_NORW-E739D_2020_	2020-04-19	2020.299180
_England_NORW-E705A_2020_	2020-04-19	2020.299180
NODE_0000037	2020-04-21	2020.305659
NODE_0000038	2020-04-22	2020.307377
_England_NORW-E96DE_2020_	2020-04-22	2020.307377
_England_NORW-E94E3_2020_	2020-04-22	2020.307377
NODE_0000039	2020-04-22	2020.307377
_England_NORW-E9647_2020_	2020-04-22	2020.307377
NODE_0000040	2020-04-25	2020.315574
_England_NORW-EAFD2_2020_	2020-04-29	2020.326503
_England_NORW-E8EB9_2020_	2020-04-25	2020.315574
NODE_0000276	2020-03-20	2020.217364
_England_NORW-ED84D_2020_	2020-03-23	2020.225410
_England_NORW-ED86B_2020_	2020-03-23	2020.225410
NODE_0000278	2020-04-08	2020.269126
_England_NORW-E8095_2020_	2020-04-08	2020.269126
NODE_0000043	2020-04-22	2020.307457
_England_NORW-E9067_2020_	2020-04-25	2020.315574
NODE_0000044	2020-04-23	2020.309635
_England_NORW-E9C54_2020_	2020-04-30	2020.329235
_England_NORW-E935F_2020_	2020-04-27	2020.321038
NODE_0000282	2020-04-29	2020.325933
_England_NORW-EC4A4_2020_	2020-05-17	2020.375683
_England_NORW-EC4C2_2020_	2020-05-13	2020.364754
NODE_0000292	2020-05-04	2020.339229
_England_NORW-ECB27_2020_	2020-06-04	2020.424863
_England_NORW-ED476_2020_	2020-05-28	2020.405738
_England_NORW-EA619_2020_	2020-05-19	2020.381148
NODE_0000041	2020-05-04	2020.339131
NODE_0000045	2020-05-04	2020.339131
NODE_0000046	2020-05-04	2020.339903
_England_NORW-ED5EC_2020_	2020-05-26	2020.400273
_England_NORW-EC046_2020_	2020-05-21	2020.386612
NODE_0000047	2020-05-04	2020.339131
_England_NORW-ECFA3_2020_	2020-06-01	2020.416667
_England_NORW-ED18E_2020_	2020-06-01	2020.416667
NODE_0000050	2020-05-04	2020.340762
NODE_0000051	2020-05-04	2020.341333
_England_NORW-EA813_2020_	2020-05-18	2020.378415
_England_NORW-EA96B_2020_	2020-05-18	2020.378415
NODE_0000052	2020-05-04	2020.340762
_England_NORW-ECA66_2020_	2020-06-04	2020.424863
_England_NORW-ED2D6_2020_	2020-05-30	2020.411202
NODE_0000061	2020-03-12	2020.195836
_England_NORW-E8AC4_2020_	2020-04-14	2020.285519
NODE_0000048	2020-03-20	2020.217213
_England_NORW-ED5FB_2020_	2020-05-26	2020.400273
_England_NORW-ED977_2020_	2020-03-20	2020.217213
NODE_0000067	2020-03-23	2020.226175
_England_NORW-E702D_2020_	2020-04-20	2020.301913
NODE_0000068	2020-04-13	2020.282066
_England_NORW-EB94C_2020_	2020-05-08	2020.351093
_England_NORW-E7193_2020_	2020-04-20	2020.301913
NODE_0000069	2020-03-20	2020.216289
_England_NORW-EFCB8_2020_	2020-04-01	2020.250000
_England_NORW-EE35A_2020_	2020-03-24	2020.228142
NODE_0000071	2020-03-21	2020.219035
_England_NORW-EFA63_2020_	2020-04-02	2020.252732
NODE_0000072	2020-03-22	2020.221626
_England_NORW-ED801_2020_	2020-03-22	2020.222678
